PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;
"1191";"Plantae";;"Chlorophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1191";"4/30/2009 12:00:00 AM";"Rchb.";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1191;1191;"Nei";
"1192";"Plantae";;"Chlorophyta";;;"Bryopsidophyceae";;;;;;;;;;;;;;;;;;;;"1191";"1192";"4/30/2009 12:00:00 AM";"Bessey";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1192;1192;"Nei";
"1197";"Plantae";;"Chlorophyta";;;"Chlorophyceae";;;;;;;;;;;;;;;;;;;;"1191";"1197";"4/30/2009 12:00:00 AM";"Wille";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1197;1197;"Nei";
"1218";"Plantae";;"Chlorophyta";;;"Nephrophyceae";;;;;;;;;;;;;;;;;;;;"1191";"1218";"4/30/2009 12:00:00 AM";"Cavalier-Smith, 1993";"Gyldig";"Ingen_bistatus";"6/24/2016 12:00:00 AM";"4/30/2009 12:00:00 AM";"Algaebase";"2016";"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1218;1218;"Nei";
"1222";"Plantae";;"Chlorophyta";;;"Pedinophyceae";;;;;;;;;;;;;;;;;;;;"1191";"1222";"4/30/2009 12:00:00 AM";"Moestrup";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1222;1222;"Nei";
"1226";"Plantae";;"Chlorophyta";;;"Pleurastrophyceae";;;;;;;;;;;;;;;;;;;;"1191";"1226";"4/30/2009 12:00:00 AM";"Mattox & K.D.Stewart";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1226;1226;"Nei";
"1229";"Plantae";;"Chlorophyta";;;"Prasinophyceae";;;;;;;;;;;;;;;;;;;;"1191";"1229";"4/30/2009 12:00:00 AM";"T.A.Chr. ex P.C.Silva";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1229;1229;"Nei";
"1236";"Plantae";;"Chlorophyta";;;"Trebouxiophyceae";;;;;;;;;;;;;;;;;;;;"1191";"1236";"4/30/2009 12:00:00 AM";"Friedl";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1236;1236;"Nei";
"1242";"Plantae";;"Chlorophyta";;;"Ulvophyceae";;;;;;;;;;;;;;;;;;;;"1191";"1242";"4/30/2009 12:00:00 AM";"Mattox & K.D.Stewart";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1242;1242;"Nei";
"127747";"Plantae";;"Chlorophyta";;;"Incertae sedis";;;;;;;;;;;;;;;;;;;;"1191";"118939";;;"Gyldig";"Ingen_bistatus";"9/13/2011 12:00:00 AM";"7/1/2011 12:00:00 AM";;;;;84588;127747;"Nei";
"147214";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;;;;;;;;;;;;;;;;"1191";"138799";;"B.Marin & Melkonian";"Gyldig";"Ingen_bistatus";"1/30/2015 12:00:00 AM";"1/30/2015 12:00:00 AM";;;;;107145;147214;"Nei";
"169091";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;;;;;;;;;;;;;;;;"1191";"160819";;"Massjuk, 2006";"Gyldig";"Ingen_bistatus";"6/24/2016 12:00:00 AM";"6/24/2016 12:00:00 AM";"Algaebase";"2016";;;129932;169091;"Nei";
"1230";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;;;;;;;;;;;;"169091";"1230";"4/30/2009 12:00:00 AM";"Melkonian";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1230;1230;"Nei";
