PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;
"819";"Chromista";;;;;;;;;;;;;;;;;;;;;;;;;;"819";"4/30/2009 12:00:00 AM";"Caval.-Sm.";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;;;819;819;"Nei";
"820";"Chromista";;"Cryptophyta";;;;;;;;;;;;;;;;;;;;;;;"819";"820";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"2/6/2012 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";820;820;"Nei";
"826";"Chromista";;"Haptophyta";;;;;;;;;;;;;;;;;;;;;;;"819";"826";"4/30/2009 12:00:00 AM";"Hibberd ex Edvardsen & Eikrem in Edvardsen et al 2000";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";826;826;"Nei";
"858";"Chromista";;"Hyphochytriomycota";;;;;;;;;;;;;;;;;;;;;;;"819";"858";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";858;858;"Nei";
"861";"Chromista";;"Katablepharidophyta";;;;;;;;;;;;;;;;;;;;;;;"819";"861";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";861;861;"Nei";
"865";"Chromista";;"Labyrinthulomycota";;;;;;;;;;;;;;;;;;;;;;;"819";"865";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"2/6/2012 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";865;865;"Nei";
"870";"Chromista";;"Not_assigned_3409";;;;;;;;;;;;;;;;;;;;;;;"819";"870";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";870;870;"Nei";
"873";"Chromista";;"Ochrophyta";;;;;;;;;;;;;;;;;;;;;;;"819";"873";"12/16/2016 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"6/28/2016 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";140031;873;"Nei";
"959";"Chromista";;"Oomycota";;;;;;;;;;;;;;;;;;;;;;;"819";"959";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"5/5/2011 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";959;959;"Nei";
"1135";"Chromista";;"Bacillariophyta";;;;;;;;;;;;;;;;;;;;;;;"819";"1135";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"2/6/2012 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1135;1135;"Nei";
"1440";"Chromista";;"Apicomplexa";;;;;;;;;;;;;;;;;;;;;;;"819";"1440";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"2/6/2012 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1440;1440;"Nei";
"1443";"Chromista";;"Cercozoa";;;;;;;;;;;;;;;;;;;;;;;"819";"1443";"4/30/2009 12:00:00 AM";"Cavalier-Smith, 1998";"Gyldig";"Ingen_bistatus";"6/24/2016 12:00:00 AM";"4/30/2009 12:00:00 AM";;;;;1443;1443;"Nei";
"1454";"Chromista";;"Ciliophora";;;;;;;;;;;;;;;;;;;;;;;"819";"1454";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"2/6/2012 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1454;1454;"Nei";
"169093";"Chromista";;"Telonemia";;;;;;;;;;;;;;;;;;;;;;;"819";"160821";;;"Gyldig";"Ingen_bistatus";"6/24/2016 12:00:00 AM";"6/24/2016 12:00:00 AM";;;;;129982;169093;"Nei";
"169392";"Chromista";;"Miozoa";;;;;;;;;;;;;;;;;;;;;;;"819";"161129";"12/9/2016 12:00:00 AM";"Cavalier-Smith, 1987";"Gyldig";"Ingen_bistatus";"12/9/2016 12:00:00 AM";"12/9/2016 12:00:00 AM";"algaebase";"2016";;;139983;169392;"Nei";
"1470";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;;;;;;;;;;;;;;;;"169392";"1470";"4/30/2009 12:00:00 AM";"Fritsch, 1927";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1470;1470;"Nei";
"1471";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Actiniscales";;;;;;;;;;;;;;;"1470";"1471";"4/30/2009 12:00:00 AM";"Sournia";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1471;1471;"Nei";
"1472";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Amoebophryales";;;;;;;;;;;;;;;"1470";"1472";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1472;1472;"Nei";
"1473";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Blastodiniales";;;;;;;;;;;;;;;"1470";"1473";"4/30/2009 12:00:00 AM";"Chatton";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1473;1473;"Nei";
"1474";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Coccidiniales";;;;;;;;;;;;;;;"1470";"1474";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1474;1474;"Nei";
"1476";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Dinamoebales";;;;;;;;;;;;;;;"1470";"1476";"4/30/2009 12:00:00 AM";"A.R.Loebl., 1970";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1476;1476;"Nei";
"1477";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Dinophysiales";;;;;;;;;;;;;;;"1470";"1477";"4/30/2009 12:00:00 AM";"Kof.";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1477;1477;"Nei";
"1478";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Gonyaulacales";;;;;;;;;;;;;;;"1470";"1478";"4/30/2009 12:00:00 AM";"Fensome, F.J.R.Taylor, G.Norris, Sarjeant, D.I.Wharton, & G.L.Williams";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1478;1478;"Nei";
"1479";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Gymnodiniales";;;;;;;;;;;;;;;"1470";"1479";"4/30/2009 12:00:00 AM";"Apstein, 1909";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1479;1479;"Nei";
"1480";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Lophodiniales";;;;;;;;;;;;;;;"1470";"1480";"4/30/2009 12:00:00 AM";"J.D.Dodge";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1480;1480;"Nei";
"1483";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Peridiniales";;;;;;;;;;;;;;;"1470";"1483";"4/30/2009 12:00:00 AM";"Haeckel, 1894";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1483;1483;"Nei";
"1484";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Phytodiniales";;;;;;;;;;;;;;;"1470";"1484";"4/30/2009 12:00:00 AM";"T.A.Chr.";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1484;1484;"Nei";
"1485";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Prorocentrales";;;;;;;;;;;;;;;"1470";"1485";"4/30/2009 12:00:00 AM";"Lemmerm.";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1485;1485;"Nei";
"1486";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Pyrocystales";;;;;;;;;;;;;;;"1470";"1486";"4/30/2009 12:00:00 AM";"Apstein";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1486;1486;"Nei";
"1487";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Suessiales";;;;;;;;;;;;;;;"1470";"1487";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1487;1487;"Nei";
"138182";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Oxyrrhinales";;;;;;;;;;;;;;;"1470";"129655";;"Caval.-Sm.";"Gyldig";"Ingen_bistatus";"3/6/2014 12:00:00 AM";"3/6/2014 12:00:00 AM";;;;;96356;138182;"Nei";
"138184";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Desmocapsales";;;;;;;;;;;;;;;"1470";"129657";;"Kof. in Kof. & Swezy";"Gyldig";"Ingen_bistatus";"3/6/2014 12:00:00 AM";"3/6/2014 12:00:00 AM";;;;;96358;138184;"Nei";
"138186";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Thoracosphaerales";;;;;;;;;;;;;;;"1470";"129659";;"Tangen in Tangen & al. , 1982";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"3/6/2014 12:00:00 AM";;;;;96360;138186;"Nei";
"147397";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Incertae sedis";;;;;;;;;;;;;;;"1470";"138983";;;"Gyldig";"Ingen_bistatus";"2/5/2015 12:00:00 AM";"2/5/2015 12:00:00 AM";;;;;107346;147397;"Nei";
"147398";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Incertae sedis";;;;"Incertae sedis";;;;;;;;;;;"147397";"138984";;;"Gyldig";"Ingen_bistatus";"2/5/2015 12:00:00 AM";"2/5/2015 12:00:00 AM";;;;;107347;147398;"Nei";
"148534";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Incertae sedis";;;;"Peridiniphycidae";;;;;;;;;;;"147397";"140121";;"Fensome, F.J.R.Taylor, G.Norris, Sarjeant, D.I.Wharton, & G.L.Williams";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;108494;148534;"Nei";
"147399";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Incertae sedis";;;;"Peridiniphycidae";;;;"Azadinium";;;;;;;"148534";"138985";;"Elbr. & Tillmann, 2009";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"2/5/2015 12:00:00 AM";;;;;107348;147399;"Nei";
"147862";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Incertae sedis";;;;"Peridiniphycidae";;;;"Azadinium";;;"spinosum";;;;"147399";"139449";;"Elbr. & Tillmann, 2009";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"2/6/2015 12:00:00 AM";;;;;107819;147862;"Ja";
"151081";"Chromista";;"Miozoa";;;"Dinophyceae";;;;;"Incertae sedis";;;;"Peridiniphycidae";;;;"Azadinium";;;"caudatum";;;;"147399";"142668";;"(Halldal) Nézan & Chomérat, in Nézan et al. 2012";"Gyldig";"Ingen_bistatus";"2/11/2015 12:00:00 AM";"2/11/2015 12:00:00 AM";;;;;111047;151081;"Nei";
