PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;
"704";"Bacteria";;"Cyanobacteria";;;;;;;;;;;;;;;;;;;;;;;"665";"704";"4/30/2009 12:00:00 AM";"Stanier ex Cavalier-Smith, 2002";"Gyldig";"Ingen_bistatus";"2/5/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;;;704;704;"Nei";
"705";"Bacteria";;"Cyanobacteria";;;"Cyanophyceae";;;;;;;;;;;;;;;;;;;;"704";"705";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";705;705;"Nei";
"711";"Bacteria";;"Cyanobacteria";;;"Not_assigned_3233";;;;;;;;;;;;;;;;;;;;"704";"711";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";711;711;"Nei";
"712";"Bacteria";;"Cyanobacteria";;;"Not_assigned_3233";;;;;"Beggiatoales";;;;;;;;;;;;;;;"711";"712";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";712;712;"Nei";
"713";"Bacteria";;"Cyanobacteria";;;"Not_assigned_3233";;;;;"Not_assigned_3255";;;;;;;;;;;;;;;"711";"713";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";713;713;"Nei";
"714";"Bacteria";;"Cyanobacteria";;;"Not_assigned_3233";;;;;"Prochlorales";;;;;;;;;;;;;;;"711";"714";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";714;714;"Nei";
"706";"Bacteria";;"Cyanobacteria";;;"Cyanophyceae";;;;;"Chroococcales";;;;;;;;;;;;;;;"705";"706";"4/30/2009 12:00:00 AM";"Wettst.";"Gyldig";"Ingen_bistatus";"2/5/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;;;706;706;"Nei";
"707";"Bacteria";;"Cyanobacteria";;;"Cyanophyceae";;;;;"Nostocales";;;;;;;;;;;;;;;"705";"707";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";707;707;"Nei";
"708";"Bacteria";;"Cyanobacteria";;;"Cyanophyceae";;;;;"Oscillatoriales";;;;;;;;;;;;;;;"705";"708";"4/30/2009 12:00:00 AM";"Caval.-Sm.";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";708;708;"Nei";
"709";"Bacteria";;"Cyanobacteria";;;"Cyanophyceae";;;;;"Pseudanabaenales";;;;;;;;;;;;;;;"705";"709";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";709;709;"Nei";
"710";"Bacteria";;"Cyanobacteria";;;"Cyanophyceae";;;;;"Synechococcales";;;;;;;;;;;;;;;"705";"710";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";710;710;"Nei";
"715";"Bacteria";;"Cyanobacteria";;;"Cyanophyceae";;;;;"Stigonematales";;;;;;;;;;;;;;;"705";"715";"4/30/2009 12:00:00 AM";"Geitler, 1925";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";715;715;"Nei";
"147257";"Bacteria";;"Cyanobacteria";;;"Cyanophyceae";;;;;"Stigonematales";;;;"Capsosiraceae";;;;;;;;;;;"715";"138842";;"(Borzì) Geitler";"Gyldig";"Ingen_bistatus";"2/2/2015 12:00:00 AM";"2/2/2015 12:00:00 AM";;;;;107188;147257;"Nei";
