PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;
"1395";"Plantae";;"Rhodophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1395";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"2/7/2012 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1395;1395;"Nei";
"1396";"Plantae";;"Rhodophyta";;;"Bangiophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1396";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1396;1396;"Nei";
"1399";"Plantae";;"Rhodophyta";;;"Compsogonophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1399";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1399;1399;"Nei";
"1401";"Plantae";;"Rhodophyta";;;"Compsopogonophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1401";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1401;1401;"Nei";
"1404";"Plantae";;"Rhodophyta";;;"Florideophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1404";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1404;1404;"Nei";
"1428";"Plantae";;"Rhodophyta";;;"Rhodellophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1428";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1428;1428;"Nei";
"1431";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;;;;;;;;;;;;;;;;"1395";"1431";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1431;1431;"Nei";
"1432";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;;;;;;;;;;;;"1431";"1432";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1432;1432;"Nei";
"106848";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Stylonemataceae";;;;;;;;;;;"1432";"98519";"8/20/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"8/20/2009 12:00:00 AM";"8/20/2009 12:00:00 AM";;;;;66634;106848;"Nei";
"144677";"Plantae";;"Rhodophyta";;;"Stylonematophyceae";;;;;"Stylonematales";;;;"Phragmonemataceae";;;;;;;;;;;"1432";"136210";;;"Gyldig";"Ingen_bistatus";"10/3/2014 12:00:00 AM";"10/3/2014 12:00:00 AM";;;;;103910;144677;"Nei";
