PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;
"1433";"Protozoa";;;;;;;;;;;;;;;;;;;;;;;;;;"1433";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"6/30/2016 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1433;1433;"Nei";
"1434";"Protozoa";;"Acrasiomycota";;;;;;;;;;;;;;;;;;;;;;;"1433";"1434";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1434;1434;"Nei";
"1437";"Protozoa";;"Acritarcha";;;;;;;;;;;;;;;;;;;;;;;"1433";"1437";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1437;1437;"Nei";
"1447";"Protozoa";;"Choanozoa";;;;;;;;;;;;;;;;;;;;;;;"1433";"1447";"2/3/2012 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"2/3/2012 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";85862;1447;"Nei";
"1492";"Protozoa";;"Euglenozoa";;;;;;;;;;;;;;;;;;;;;;;"1433";"1492";"4/30/2009 12:00:00 AM";"Caval.-Sm.";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1492;1492;"Nei";
"1500";"Protozoa";;"Flagellata";;;;;;;;;;;;;;;;;;;;;;;"1433";"1500";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1500;1500;"Nei";
"1516";"Protozoa";;"Myzozoa";;;;;;;;;;;;;;;;;;;;;;;"1433";"1516";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1516;1516;"Nei";
"1519";"Protozoa";;"Not_assigned_4903";;;;;;;;;;;;;;;;;;;;;;;"1433";"1519";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"4/30/2009 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1519;1519;"Nei";
"1544";"Protozoa";;"Parabasalia";;;;;;;;;;;;;;;;;;;;;;;"1433";"1544";"4/30/2009 12:00:00 AM";;"Gyldig";"Ingen_bistatus";"2/6/2012 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1544;1544;"Nei";
"128970";"Protozoa";;"Percolozoa";;;;;;;;;;;;;;;;;;;;;;;"1433";"120175";;"Cavalier-Smith 1991";"Gyldig";"Ingen_bistatus";"2/3/2012 12:00:00 AM";"2/3/2012 12:00:00 AM";;;;;85866;128970;"Nei";
"128988";"Protozoa";;"Metamonada";;;;;;;;;;;;;;;;;;;;;;;"1433";"120193";;;"Gyldig";"Ingen_bistatus";"11/23/2012 12:00:00 AM";"2/6/2012 12:00:00 AM";;;;;85884;128988;"Nei";
"128994";"Protozoa";;"Rhizaria";;;;;;;;;;;;;;;;;;;;;;;"1433";"120199";;;"Gyldig";"Ingen_bistatus";"10/17/2012 12:00:00 AM";"2/7/2012 12:00:00 AM";;;;;85890;128994;"Nei";
"169384";"Protozoa";;"(Rekke) Incertae sedis";;;;;;;;;;;;;;;;;;;;;;;"1433";"161121";;;"Gyldig";"Ingen_bistatus";"12/8/2016 12:00:00 AM";"12/8/2016 12:00:00 AM";"algaebase";"2016";;;139974;169384;"Nei";
"1488";"Protozoa";;"(Rekke) Incertae sedis";;;"Ebriophyceae";;;;;;;;;;;;;;;;;;;;"169384";"1488";"4/30/2009 12:00:00 AM";"A.R.Loebl.";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1488;1488;"Nei";
"169386";"Protozoa";;"(Rekke) Incertae sedis";;;"Incertae sedis";;;;;;;;;;;;;;;;;;;;"169384";"161123";;;"Gyldig";"Ingen_bistatus";"12/8/2016 12:00:00 AM";"12/8/2016 12:00:00 AM";"algaebase";"2016";;;139976;169386;"Nei";
"169387";"Protozoa";;"(Rekke) Incertae sedis";;;"Incertae sedis";;;;;"Incertae sedis";;;;;;;;;;;;;;;"169386";"161124";;;"Gyldig";"Ingen_bistatus";"12/8/2016 12:00:00 AM";"12/8/2016 12:00:00 AM";"algaebase";"2016";;;139977;169387;"Nei";
"169388";"Protozoa";;"(Rekke) Incertae sedis";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Incertae sedis";;;;;;;;;;;"169387";"161125";;;"Gyldig";"Ingen_bistatus";"12/8/2016 12:00:00 AM";"12/8/2016 12:00:00 AM";;;;;139978;169388;"Nei";
"169389";"Protozoa";;"(Rekke) Incertae sedis";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Incertae sedis";;;;"Cryothecomonas scybalophora";;;;;;;"169388";"161126";;"Thomsen, Buck, Bolt & Garrison, 1991";"Gyldig";"Ingen_bistatus";"12/8/2016 12:00:00 AM";"12/8/2016 12:00:00 AM";"algaebase";"2016";;;139979;169389;"Nei";
"169438";"Protozoa";;"(Rekke) Incertae sedis";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Incertae sedis";;;;"Solenicola";;;;;;;"169388";"161175";;"Pavillard, 1916";"Gyldig";"Ingen_bistatus";"12/20/2016 12:00:00 AM";"12/20/2016 12:00:00 AM";"Algaebase";"2016";;;140038;169438;"Nei";
"169439";"Protozoa";;"(Rekke) Incertae sedis";;;"Incertae sedis";;;;;"Incertae sedis";;;;"Incertae sedis";;;;"Solenicola";;;"setigera";;;;"169438";"161176";;"Pavillard, 1916";"Gyldig";"Ingen_bistatus";"12/20/2016 12:00:00 AM";"12/20/2016 12:00:00 AM";"Algaebase";"2016";;;140039;169439;"Nei";
