kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2	nomac_scientific_name	nomac_rank	nomac_parent	nomac_classification	dyntaxa_id	dyntaxa_scientific_name	dyntaxa_url
Plantae	Chlorophyta									Rchb.	Gyldig	Ingen_bistatus	Chlorophyta	Phylum	Plantae	Plantae - Chlorophyta	6000582.0	Chlorophyta	https://www.dyntaxa.se/taxon/info/6000582
Plantae	Chlorophyta									Rchb.	Gyldig	Ingen_bistatus	Chlorophyta	Phylum	Plantae	Plantae - Chlorophyta	5000046.0	Chlorophyta	https://www.dyntaxa.se/taxon/info/5000046
Plantae	Chlorophyta	Bryopsidophyceae								Bessey	Gyldig	Ingen_bistatus	Bryopsidophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Bryopsidophyceae			
Plantae	Chlorophyta	Chlorophyceae								Wille	Gyldig	Ingen_bistatus	Chlorophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Chlorophyceae	4000128.0	Chlorophyceae	https://www.dyntaxa.se/taxon/info/4000128
Plantae	Chlorophyta	Nephrophyceae								Cavalier-Smith, 1993	Gyldig	Ingen_bistatus	Nephrophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Nephrophyceae	4000204.0	Nephrophyceae	https://www.dyntaxa.se/taxon/info/4000204
Plantae	Chlorophyta	Pedinophyceae								Moestrup	Gyldig	Ingen_bistatus	Pedinophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Pedinophyceae	4000180.0	Pedinophyceae	https://www.dyntaxa.se/taxon/info/4000180
Plantae	Chlorophyta	Pleurastrophyceae								Mattox & K.D.Stewart	Gyldig	Ingen_bistatus	Pleurastrophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Pleurastrophyceae			
Plantae	Chlorophyta	Prasinophyceae								T.A.Chr. ex P.C.Silva	Gyldig	Ingen_bistatus	Prasinophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Prasinophyceae			
Plantae	Chlorophyta	Trebouxiophyceae								Friedl	Gyldig	Ingen_bistatus	Trebouxiophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Trebouxiophyceae	4000179.0	Trebouxiophyceae	https://www.dyntaxa.se/taxon/info/4000179
Plantae	Chlorophyta	Incertae sedis									Gyldig	Ingen_bistatus	Incertae sedis	Class	Chlorophyta	Plantae - Chlorophyta - Incertae sedis			
Plantae	Chlorophyta	Mamiellophyceae								B.Marin & Melkonian	Gyldig	Ingen_bistatus	Mamiellophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Mamiellophyceae	4000241.0	Mamiellophyceae	https://www.dyntaxa.se/taxon/info/4000241
Plantae	Chlorophyta	Chlorodendrophyceae								Massjuk, 2006	Gyldig	Ingen_bistatus	Chlorodendrophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Chlorodendrophyceae	6011762.0	Chlorodendrophyceae	https://www.dyntaxa.se/taxon/info/6011762
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales							Melkonian	Gyldig	Ingen_bistatus	Chlorodendrales	Order	Chlorodendrophyceae	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales	3000644.0	Chlorodendrales	https://www.dyntaxa.se/taxon/info/3000644
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae						Oltm.	Gyldig	Ingen_bistatus	Chlorodendraceae	Family	Chlorodendrales	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae	2003308.0	Chlorodendraceae	https://www.dyntaxa.se/taxon/info/2003308
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Halosphaeraceae						Haeckel	Gyldig	Ingen_bistatus	Halosphaeraceae	Family	Chlorodendrales	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Halosphaeraceae	2003307.0	Halosphaeraceae	https://www.dyntaxa.se/taxon/info/2003307
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Halosphaeraceae	Pachysphaera					Ostenfeld	Gyldig	Ingen_bistatus	Pachysphaera	Genus	Halosphaeraceae	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Halosphaeraceae - Pachysphaera	1010812.0	Pachysphaera	https://www.dyntaxa.se/taxon/info/1010812
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Halosphaeraceae	Pachysphaera	pelagica				C.H. Ostenfeld	Gyldig	Ingen_bistatus	Pachysphaera pelagica	Species	Pachysphaera	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Halosphaeraceae - Pachysphaera pelagica	238988.0	Pachysphaera pelagica	https://www.dyntaxa.se/taxon/info/238988
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis					F.Stein	Gyldig	Ingen_bistatus	Tetraselmis	Genus	Chlorodendraceae	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis	1016309.0	Tetraselmis	https://www.dyntaxa.se/taxon/info/1016309
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Scherffelia					Pascher	Gyldig	Ingen_bistatus	Scherffelia	Genus	Chlorodendraceae	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Scherffelia	1015225.0	Scherffelia	https://www.dyntaxa.se/taxon/info/1015225
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Scherffelia	pelagica				Skuja	Gyldig	Ingen_bistatus	Scherffelia pelagica	Species	Scherffelia	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Scherffelia pelagica	257559.0	Scherffelia pelagica	https://www.dyntaxa.se/taxon/info/257559
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Scherffelia	dubia				(Perty) Pascher	Gyldig	Ingen_bistatus	Scherffelia dubia	Species	Scherffelia	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Scherffelia dubia			
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	gracilis				(Kylin) Butcher	Gyldig	Ingen_bistatus	Tetraselmis gracilis	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis gracilis	238992.0	Tetraselmis gracilis	https://www.dyntaxa.se/taxon/info/238992
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	micropapillata				(Ålvik) Butcher	Gyldig	Ingen_bistatus	Tetraselmis micropapillata	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis micropapillata	238998.0	Tetraselmis micropapillata	https://www.dyntaxa.se/taxon/info/238998
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	rubens				Butcher	Gyldig	Ingen_bistatus	Tetraselmis rubens	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis rubens	238993.0	Tetraselmis rubens	https://www.dyntaxa.se/taxon/info/238993
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	striata				Butcher	Gyldig	Ingen_bistatus	Tetraselmis striata	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis striata	238994.0	Tetraselmis striata	https://www.dyntaxa.se/taxon/info/238994
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	tetrathele				(West) Butcher	Gyldig	Ingen_bistatus	Tetraselmis tetrathele	Species	Tetraselmis	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae - Tetraselmis tetrathele	238997.0	Tetraselmis tetrathele	https://www.dyntaxa.se/taxon/info/238997
