scientific_name	rank	author	parent	classification	source	dyntaxa_id	dyntaxa_scientific_name	dyntaxa_url
Biota	Top				NOMAC_2017_top_taxa	0	Biota	https://www.dyntaxa.se/taxon/info/0
Eukaryota	Empire	Chatton	Biota		NOMAC_2017_top_taxa			
Prokaryota	Empire	Allsopp	Biota		NOMAC_2017_top_taxa			
Bacteria	Kingdom	Cavalier-Smith	Prokaryota		NOMAC_2017_top_taxa	5000052	Bacteria	https://www.dyntaxa.se/taxon/info/5000052
Chromista	Kingdom	Cavalier-Smith	Eukaryota		NOMAC_2017_top_taxa	5000055	Chromista	https://www.dyntaxa.se/taxon/info/5000055
Plantae	Kingdom	Haeckel	Eukaryota		NOMAC_2017_top_taxa	5000045	Plantae	https://www.dyntaxa.se/taxon/info/5000045
Protozoa	Kingdom	R.Owen	Eukaryota		NOMAC_2017_top_taxa	5000060	Protozoa	https://www.dyntaxa.se/taxon/info/5000060
Fungi	Kingdom	T.L.Jahn & F.F.Jahn ex R.T.Moore	Eukaryota		NOMAC_2017_top_taxa	5000039	Fungi	https://www.dyntaxa.se/taxon/info/5000039
Eukaryota unassigned	Kingdom		Eukaryota		NOMAC_2017_top_taxa	6011679	Eukaryota unassigned	https://www.dyntaxa.se/taxon/info/6011679
Cyanobacteria	Phylum	Stanier ex Cavalier-Smith, 2002	Bacteria	Bacteria - Cyanobacteria	Artsnavnebase 20170303	5000053	Cyanobacteria	https://www.dyntaxa.se/taxon/info/5000053
Cyanophyceae	Class		Cyanobacteria	Bacteria - Cyanobacteria - Cyanophyceae	Artsnavnebase 20170303	4000147	Cyanophyceae	https://www.dyntaxa.se/taxon/info/4000147
Chroococcales	Order	Wettst.	Cyanophyceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales	Artsnavnebase 20170303	3000543	Chroococcales	https://www.dyntaxa.se/taxon/info/3000543
Chroococcaceae	Family		Chroococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae	Artsnavnebase 20170303	2003108	Chroococcaceae	https://www.dyntaxa.se/taxon/info/2003108
Chroococcus	Genus	Nägeli	Chroococcaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus	Artsnavnebase 20170303	1010249	Chroococcus	https://www.dyntaxa.se/taxon/info/1010249
Chroococcus aphanocapsoides	Species	Skuja	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus aphanocapsoides	Artsnavnebase 20170303	236804	Chroococcus aphanocapsoides	https://www.dyntaxa.se/taxon/info/236804
