kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2	nomac_scientific_name	nomac_rank	nomac_parent	nomac_classification
Plantae	Chlorophyta									Rchb.	Gyldig	Ingen_bistatus	Chlorophyta	Phylum	Plantae	Plantae - Chlorophyta
Plantae	Chlorophyta	Bryopsidophyceae								Bessey	Gyldig	Ingen_bistatus	Bryopsidophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Bryopsidophyceae
Plantae	Chlorophyta	Chlorophyceae								Wille	Gyldig	Ingen_bistatus	Chlorophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Chlorophyceae
Plantae	Chlorophyta	Nephrophyceae								Cavalier-Smith, 1993	Gyldig	Ingen_bistatus	Nephrophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Nephrophyceae
Plantae	Chlorophyta	Pedinophyceae								Moestrup	Gyldig	Ingen_bistatus	Pedinophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Pedinophyceae
Plantae	Chlorophyta	Pleurastrophyceae								Mattox & K.D.Stewart	Gyldig	Ingen_bistatus	Pleurastrophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Pleurastrophyceae
Plantae	Chlorophyta	Prasinophyceae								T.A.Chr. ex P.C.Silva	Gyldig	Ingen_bistatus	Prasinophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Prasinophyceae
Plantae	Chlorophyta	Trebouxiophyceae								Friedl	Gyldig	Ingen_bistatus	Trebouxiophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Trebouxiophyceae
Plantae	Chlorophyta	Incertae sedis									Gyldig	Ingen_bistatus	Incertae sedis	Class	Chlorophyta	Plantae - Chlorophyta - Incertae sedis
Plantae	Chlorophyta	Mamiellophyceae								B.Marin & Melkonian	Gyldig	Ingen_bistatus	Mamiellophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Mamiellophyceae
Plantae	Chlorophyta	Chlorodendrophyceae								Massjuk, 2006	Gyldig	Ingen_bistatus	Chlorodendrophyceae	Class	Chlorophyta	Plantae - Chlorophyta - Chlorodendrophyceae
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales							Melkonian	Gyldig	Ingen_bistatus	Chlorodendrales	Order	Chlorodendrophyceae	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae						Oltm.	Gyldig	Ingen_bistatus	Chlorodendraceae	Family	Chlorodendrales	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Chlorodendraceae
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Halosphaeraceae						Haeckel	Gyldig	Ingen_bistatus	Halosphaeraceae	Family	Chlorodendrales	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Halosphaeraceae
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Halosphaeraceae	Pachysphaera					Ostenfeld	Gyldig	Ingen_bistatus	Pachysphaera	Genus	Halosphaeraceae	Plantae - Chlorophyta - Chlorodendrophyceae - Chlorodendrales - Halosphaeraceae - Pachysphaera
