scientific_name	rank	author	parent	classification	source
Biota	Top				NOMAC_2017_top_taxa
Eukaryota	Empire	Chatton	Biota		NOMAC_2017_top_taxa
Prokaryota	Empire	Allsopp	Biota		NOMAC_2017_top_taxa
Bacteria	Kingdom	Cavalier-Smith	Prokaryota		NOMAC_2017_top_taxa
Chromista	Kingdom	Cavalier-Smith	Eukaryota		NOMAC_2017_top_taxa
Plantae	Kingdom	Haeckel	Eukaryota		NOMAC_2017_top_taxa
Protozoa	Kingdom	R.Owen	Eukaryota		NOMAC_2017_top_taxa
Fungi	Kingdom	T.L.Jahn & F.F.Jahn ex R.T.Moore	Eukaryota		NOMAC_2017_top_taxa
Eukaryota unassigned	Kingdom		Eukaryota		NOMAC_2017_top_taxa
Cyanobacteria	Phylum	Stanier ex Cavalier-Smith, 2002	Bacteria	Bacteria - Cyanobacteria	Artsnavnebase 20170303
Cyanophyceae	Class		Cyanobacteria	Bacteria - Cyanobacteria - Cyanophyceae	Artsnavnebase 20170303
Chroococcales	Order	Wettst.	Cyanophyceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales	Artsnavnebase 20170303
Chroococcaceae	Family		Chroococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae	Artsnavnebase 20170303
Chroococcus	Genus	Nägeli	Chroococcaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus	Artsnavnebase 20170303
Chroococcus aphanocapsoides	Species	Skuja	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus aphanocapsoides	Artsnavnebase 20170303
Chroococcus cohaerens	Species	(Bréb.) Nägeli	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus cohaerens	Artsnavnebase 20170303
Chroococcus cumulatus	Species	Bachm.	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus cumulatus	Artsnavnebase 20170303
Chroococcus dispersus	Species	(Keissl.) Lemmerm.	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus dispersus	Artsnavnebase 20170303
Chroococcus dispersus var. minor	Variety	G.M.Sm.	dispersus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus dispersus var. minor	Artsnavnebase 20170303
Chroococcus distans	Species	(G.M.Sm.) Komárk.-Legn. & Cronberg	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus distans	Artsnavnebase 20170303
Chroococcus limneticus	Species	Lemmermann	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus limneticus	Artsnavnebase 20170303
Chroococcus limneticus var. elegans	Variety	G.M.Sm.	limneticus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus limneticus var. elegans	Artsnavnebase 20170303
Chroococcus macrococcus	Species	(Kützing) Rabenhorst	Chroococcus	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Chroococcus macrococcus	Artsnavnebase 20170303
