kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2
Plantae	Chlorophyta									Rchb.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Bryopsidophyceae								Bessey	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorophyceae								Wille	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Nephrophyceae								Cavalier-Smith, 1993	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Pedinophyceae								Moestrup	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Pleurastrophyceae								Mattox & K.D.Stewart	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Prasinophyceae								T.A.Chr. ex P.C.Silva	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Trebouxiophyceae								Friedl	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae								Mattox & K.D.Stewart	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Incertae sedis									Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae								B.Marin & Melkonian	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae								Massjuk, 2006	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales							Melkonian	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae						Oltm.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Halosphaeraceae						Haeckel	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Halosphaeraceae	Pachysphaera					Ostenfeld	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Halosphaeraceae	Pachysphaera	pelagica				C.H. Ostenfeld	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis					F.Stein	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Scherffelia					Pascher	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Scherffelia	pelagica				Skuja	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Scherffelia	dubia				(Perty) Pascher	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	gracilis				(Kylin) Butcher	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	micropapillata				(Ålvik) Butcher	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	rubens				Butcher	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	striata				Butcher	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	tetrathele				(West) Butcher	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	convolutae				(Parke & Manton) R.E.Norris, T.Hori & Chihara	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	cordiformis				(H.J.Carter) F.Stein	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	marina				(Cienk.) R.E.Norris, T.Hori & Chihara	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	subcordiformis				(Wille) Butcher	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Chlorodendrophyceae	Chlorodendrales	Chlorodendraceae	Tetraselmis	suecica				(Kylin) Butcher	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales							Moestrup	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales							B.Marin & Melkonian	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Monomastigales							R.E.Norris ex Melkonian & B.Marin	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Monomastigales	Monomastigaceae						Hub.-Pest. ex B.Marin & Melkonian	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Monomastigales	Monomastigaceae	Monomastix					Scherff.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae						B.Marin & Melkonian	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix					Manton	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	lepidota				Manton	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	nummullifera				Manton	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	nummulifera				Manton	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae						Moestrup	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae						B.Marin & Melkonian	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus					Eikrem & Throndsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus					Courties & Chret.-Dinet.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	taurii				Guillou & Chrëtiennot-Dinet	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	tauri				Courties & Chret.-Dinet.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	prasinos				W. Eikrem & J. Throndsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mamiella					Moestrup	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella					T.V. Desikachary	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas					I. Manton & M. Parke	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	pusilla				(R.W. Butcher) I. Manton & M. Parke	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	squamata				(I. Manton & M. Parke) T.V. Desikachary	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mamiella	gilva				(M. Parke & D.G. Rayns) Ø. Moestrup	Gyldig	Ingen_bistatus
